web-scraper-order,web-scraper-start-url,Product name,author,title,date,content,rating,Page no next,Next Page,Next Page-href
"1693623560-56","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/","Crocs Unisex-Adult Classic Clogs (Best Sellers), Black, 6 Men/8 Women","MrRobot PartsPlus","Best summer shoes!","Reviewed in the United States on July 17, 2023","I've been a fan for years and the quality is still superb.  Some say they are ugly, but the rest of us silently laugh as we enjoy the ease and comfort these give.

I like that they work in any conditions.  I especially wear them when working in the pig pen. I step in interesting things and no matter how good your boots are something ultimately makes it inside,  which is the worst.  With these I can get a hose and just clean things off. There is almost no job around my property I haven't used them for. The only problem is sticker weeds sometimes.  The holes in the front don't give much protection there.  But they also don't collect burrs and other things that regular shoes do.

My kids all wear them and they like to put those charms on them.  I've seen lights for them and even the bull anatomy thing that you see on some trailer hitches.  I guess if that is what you have to do to feel manly,  then go for it.

I'm a simple guy and love these especially for the simplicity.  I think I'm on my 8th pair now...","5.0 out of 5 stars","4","Next page→","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3"
"1693623560-57","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/","Crocs Unisex-Adult Classic Clogs (Best Sellers), Black, 6 Men/8 Women","The Bean Counter","Perfect Replacement","Reviewed in the United States on August 30, 2023","Great replacement for a pair of 13 yr old size 11 Crocs that had served me well but had seen better days and needed to be retired. I wasn't disappointed as they fit perfectly with no break in needed. I usually don't wear socks with Crocs so I ordered a size 11 even though I wear 12 shoes and the fit was perfect. It's something to keep in mind when ordering them how you will be wearing them as they seem to run a bit large.","5.0 out of 5 stars","4","Next page→","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3"
"1693623560-58","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/","Crocs Unisex-Adult Classic Clogs (Best Sellers), Black, 6 Men/8 Women","Sharon Dishner","Crocs for Comfort","Reviewed in the United States on August 7, 2023","I recently purchased a pair of Croc to take on our trip to the beach, and I must say, they have exceeded my expectations. These shoes offer unparalleled comfort, making them ideal for long walks, errands, or just lounging around. The cushioned insoles and lightweight design ensure that my feet stay cozy all day long.
Cleaning is a breeze, too. A quick rinse and these shoes are good as new. The durability is noteworthy; they’ve held up well even after weeks of constant wear. Crocs have earned their place in my footwear collection due to their unbeatable comfort, adaptability, and practicality. If you prioritize comfort, I’d definitely recommend giving Crocs a try.","5.0 out of 5 stars","4","Next page→","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3"
"1693623560-59","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/","Crocs Unisex-Adult Classic Clogs (Best Sellers), Black, 6 Men/8 Women","Florida Barb","My husband will wear these now!","Reviewed in the United States on August 19, 2023","My husband wears scrubs to work every day and he always wears these ugly old sneakers with them and it looks crappy. Tired of arguing with him about what shoes he needs to wear his scrubs and finally got him to try a pair of my crocs (we wear the same size).
I got him a blue set for his blue scrubs and the green for his green scrubs and he’s happy to wear them even with his cargo shorts now. I went and bought another four pair from myself. We both love our crocs!","5.0 out of 5 stars","4","Next page→","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3"
"1693623560-60","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/","Crocs Unisex-Adult Classic Clogs (Best Sellers), Black, 6 Men/8 Women","K_k","Great Price on Amazon!","Reviewed in the United States on August 2, 2023","My daughter has been bugging me about buying her a pair of Crocs for some time now and I've been hesitant because of how unattractive they are! (Totally personal opinion!) Her birthday was just around the corner and the sweet child asked for 2 small items for her birthday, one of them being a pair of Crocs. I finally gave in and ordered these on Amazon. The price was great and the Crocs were delivered in a day, just in time for her birthday! She loved them and we spent time looking for Jibbitz to decorate them. I love Jibbitz and almost ordered a pair of Crocs just so I can buy Jibbitz! For size reference, my daughter wears a 7.5 in women and we ordered 6 Men/8 women's Crocs for her.","5.0 out of 5 stars","4","Next page→","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3"
"1693623560-61","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/","Crocs Unisex-Adult Classic Clogs (Best Sellers), Black, 6 Men/8 Women","vein","crocsss","Reviewed in the United States on August 13, 2023","Ordered the same exact size and color and everything 7-8 months ago but just a few days ago i accidentally left it outside fr in the SUNN and only the right croc shrink a bit so i did some research to see if i can fix it and turn it
back to normal and they said i should dip it in hot boiling water for 2 mins ( DONT DO THIS UNLESS YOUR CROCS ARE TOO BIG AND YOU WANT TO MAKE THEM SMALLED ) n i did that but it got even smaller than it already was bc of the sun. So i just wanna say keep it inside the house at all times in the cold air unless your going out and wearing it but if your inside and not wearing it leave it INSIDE the house so it doesn’t shrink that’s why i had to order another one.","4.0 out of 5 stars","4","Next page→","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3"
"1693623560-62","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/","","","","","","","","Next page→","https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/product-reviews/B0014C2NBC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3"
"1693623565-63","https://www.amazon.com/kindle-the-lightest-and-most-compact-kindle/product-reviews/B0B92489PD/","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Without Lockscreen Ads - Black","Sparky","Maybe my favorite Kindle yet! (And I’ve owned a bunch)","Reviewed in the United States on August 5, 2023","I’ve been buying Kindles every since the second model came out way back in 2009 or so. The Kindle is a marvelous invention that got me reading again and reading 3-4 times as much as I ever did with paper books. I have no romantic notions about paper and glue anymore.

I’d go as far as saying the Kindle is arguably the most underrated invention of the early 21st century. But you’re here for the review, so…

As for why I like THIS Kindle so much. Well, I love the fact that all of the most important features have finally trickled down to the base model. I could afford to buy any Kindle I want of course, and I usually buy one of the middle or higher end Kindles. This one was actually replacing an older Paperwhite.

The fact that all the best features are present on the base model now makes me feel better about Kindles and Amazon in general honestly. My first Kindle was $399, so I love the fact that this one is so affordable and within reach of a lot more people now.

This Kindle also gets the fastest SoC (microprocessor) that the newest Kindles have. That means it’s as fast, or faster than any of the Kindle models.

It’s finally got a generous amount of memory for anyone with anything but the biggest book collection. I’ll never fill it up I’m sure.

It’s even got the higher dpi (resolution) Paperwhite screen now, so you’re no longer penalized with pixelated fonts or less contrast for buying the entry level model and I LOVE that.

One of my favorite feature though is that it’s super small and light, which I really love. It’s the smallest, lightest, most pocketable Kindle there’s ever been. That’s a nice feature that makes you more likely to take it with you everywhere.

The only things you’re really giving up versus a Paperwhite that I know of are the extra LEDs (I don’t miss them a bit, backlighting is more than enough) and the warmer color backlighting option (nice to have, but I can definitely live without it).

This model also has a bit less battery life than the Paperwhite (maybe 15-20% less?) But it’s still a Kindle, which means it will last longer than any other device you own. I doubt the battery life will be a complaint from many.

The final feature it’s missing is actually a PLUS to me. It’s the fact that the screen is recessed. I actually prefer that (I can’t be the only one). I like being able to tell by touch precisely where the screen begins. It makes it easier to avoid touching the screen accidentally and I just think it looks better to be honest.

The only feature I WISH it had is PAGE TURN BUTTONS. I have no idea WHY Amazon has limited them to only the Oasis models. Other eInk book manufacturers like Kobo managed to find a way to include page turn buttons on nearly every model. Come on, Amazon.

I had been planning on buying an Oasis for several years, specifically to get the page turn buttons. But I simply got tired of WAITING for Amazon to make an Oasis with USB-C charging already and update the hardware to match the newer models.

I finally gave up on waiting for a USB-C Oasis after I read rave reviews of the new base model and Prime Day rolled around with a price drop on it.

I’m super satisfied with it though. Lack of buttons aside, I think it’s my favorite Kindle yet due to the exceptional value, ultra-pocketable size and feature set.

This model has everything I think most people really need and want in a Kindle at a very fair price (especially when you buy it during Prime Days like I did!).

I also really appreciate the opportunity to buy a Kindle in a color other than black or white for a change. The Denim Blue is cool and different and that’s a feature you cannot get in ANY other Kindle model. Amazon should consider making a few more color choices here and there. I guarantee it would juice up sales.

If they just added some sturdy page turn buttons to this, a physical switch to disable the touch screen, the “warm” backlighting option and gave it a bigger battery that’s designed to be easily replaced, it would be the PERFECT Kindle for me.

That and I wish Amazon would give us greater control over our Home Screen. I just want a simple list of folders or my collections. I don’t want to see “suggestions” or any eye candy marketing fluff. Minor complaint though.

All-in-all I think when you take price into consideration, this is the BEST KINDLE Amazon has ever made, hands down.","5.0 out of 5 stars","2","",""
"1693623565-64","https://www.amazon.com/kindle-the-lightest-and-most-compact-kindle/product-reviews/B0B92489PD/","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Without Lockscreen Ads - Black","Ivy Reisner","So much better than print","Reviewed in the United States on December 7, 2022","If you’re considering this, and reading this review, you’re probably considering your first foray into Kindle reading. Good choice. A few things to note about this.

The ads are not pop ups. I know some dead tree fans would have you believe, right in the middle of a tense scene, an ad will interrupt the page. That’s not how this works. What happens is, when you put the device in sleep mode, rather than say the cover or the portrait of a famous author, you see an ad. If you use the physical cover to turn on and off the device, you won’t see much if any of the ads.  And yes, you can dog ear a page.

I have no idea why memes keep popping up to say you can’t. Actually, the things you can do with a print book that you can’t with a Kindle book are: Donate them to the library if the library starts taking books again, give used copies to a friend, sell used copies, have a bookmark accidentally fall out, and use them for, well, kindling. Kindle can do everything else. Things you can do on a Kindle and not a print book are: read in the dark, search for text, carry dozens of books in your pocket, create notes of virtually unlimited size (you run out of room in the margin of a print book), pick up a new book nearly anywhere, anytime, and instantly convert your entire library to large print.

Most library systems can send any borrowed e-book directly to your Kindle. And your place and notes are stored in case you borrow the book again or buy a copy. You don’t get that with print.

Amazon recently improved their send to Kindle features with a drag and drop web page that makes moving your own documents to the device extremely simple.

This comes with a USB-C cable, but not a charger (aka wall wort) so if you don’t have one lying around (I think the expectation is most of us do) you will need to pick one up.

16 gig might not sound like a lot, but most books fall under 2K.  I’ve seen public libraries (I’m looking at you, Florida) with fewer books than this can hold. Audible eats the memory a bit more, but I find this to be more than enough.

You don’t get cellular connectivity with this, but that’s only with the premium Oasis line now. Scribe even missed out on that. I find it convenient, but I understand wifi is ubiquitous enough these days it’s not a big deal for most users. I have an annoying habit of finishing a book on the crosstown bus, then needing the next in the series. Yes, the cell phone tether works. No, that’s not as convenient as built-in cellular.
It has fewer LEDs than most, but that’s not a big deal. Four lets you read in the dark. The scribe has 35. Guys, it’s an e-reader, not a disco, no one needs that many separate lights on that small a device. The absence of a warm light and auto adjusting lights are a bigger issue here. The warm light makes a big difference when you’re reading before bed.

It doesn’t have the waterproofing, which I thought was a bigger deal when that first came out, but in all the time since I’ve yet to (knock wood) get a Kindle wet. It’s a nice to have, not a have to have.

The size can throw people at first. The screen approximates two things – an index card turned portrait and a mass market paperback page. The occasional “ghosting” mirrors the see-through element of the cheaper mass market paperbacks, except on the device it refreshes quickly, and the ghosting goes away.

There were some studies done that suggest memory is improved from reading from print rather than e-book. I want to point out a few issues and cite my own experience. First, all the studies I could find cite pop ups and other distractions as the primary issue. That is, the test is on a general-purpose tablet, not a single purpose e-reader. When they either do a study on an actual e-reader or compare with pop ups on the tablet vs someone coming over just as often and tossing brochures on their print book I’ll believe it. Unless all factors are equal, the study is inherently flawed. To my experience, my ability to absorb and either use the information (if it’s non-fiction) or retain it over time (if it’s fiction) is nearly identical in both, with the slight advantage of the e-book being able to search back in the text for prior information. It drives me nuts when a quote resurfaces in a print book, and I can’t find the prior mention again. Or when I need to find a code snippet in a shelf full of computer books rather than just search on device and have it in seconds.

So, if you’re comfortable with the mass market paperback format, the size, the quality, then this is a huge step up. If you want to lay your hands on information quickly, then this is a huge step up.
If you want portability, then this is a huge step up. I just had to help an elderly woman move into assisted living and the loss of space cost her nearly all of her much-loved library. I find it comforting that nearly all of mine fits in my purse. No more culling the library for space, then finding you need to buy a new copy. If you delete an e-book from your Kindle, you can download it again for free. I remember, in the dark days before the Kindle was invented, being stuck on a flight from Arizona to New York with nothing to read but the most misogynistic, worst written mystery novel I’d ever encountered. If I had a Kindle, I’d have had at least a dozen better choices at hand, not to mention rereads.

The downside here is twofold. First, Dune and The Great Gatsby look the same size on the reader, so it’s hard to eyeball that one is a super-fast read and the other a meaty novel. It’s also a little too easy to build up a massive TBR pile, given it takes no physical space, the device memory is ample, and Amazon keeps offering free books to Prime members every month, sometimes more than one, and a crazy number of deeply discounted books Prime or not.

If you are concerned about the environment, then this is a matter of economics of scale. On the last study I checked, the magic number was 20. At 20 books the manufacture and transport impact of the e-reader ties the impact of manufacturing and transporting print books. At 21 and beyond, the e-reader has almost no further impact as compared to the printing and transporting of physical books. E-readers have boasted substantial improvements in reducing their carbon footprint since that study, but I can find no more recent information. Even at 20, the worst number, it’s clear that e-readers are a pure win for the environment.

It’s a great device. If you want to go with this one as the entry level, you won’t be disappointed.","5.0 out of 5 stars","2","",""
"1693623565-65","https://www.amazon.com/kindle-the-lightest-and-most-compact-kindle/product-reviews/B0B92489PD/","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Without Lockscreen Ads - Black","Danny","Your Personal Library at Your Fingertips - Kindle Lets You Dive into the World of Books","Reviewed in the United States on July 13, 2023","The Kindle (2022 release) is the ultimate companion for book lovers, offering a portable library that fits in the palm of your hand. With its sleek design, glare-free display, and extensive selection of e-books, this Kindle redefines the way you read, providing an immersive and convenient reading experience.

The standout feature of the Kindle is its high-resolution e-ink display. The glare-free screen resembles real paper, allowing for comfortable reading even in bright sunlight. The crisp text and adjustable font sizes ensure a personalized reading experience for readers of all ages. With the built-in front light, you can enjoy your favorite books day or night without straining your eyes.

The Kindle offers access to an extensive selection of e-books through the Kindle Store. Choose from millions of titles, including bestsellers, classics, and self-published works. With the Kindle Unlimited subscription, you can explore a vast library of e-books, audiobooks, and magazines, offering unlimited reading possibilities. The Whispersync technology ensures seamless synchronization across your devices, allowing you to pick up where you left off on any device with the Kindle app.

The Kindle's battery life is impressive, lasting weeks on a single charge. This means you can immerse yourself in your favorite books for extended periods without worrying about running out of power. Whether you're on a long journey, spending time outdoors, or simply relaxing at home, the Kindle's long battery life ensures uninterrupted reading pleasure.

With its compact and lightweight design, the Kindle is highly portable, making it easy to carry your entire library with you wherever you go. Whether you're commuting, traveling, or taking a break, the Kindle slips effortlessly into your bag or pocket, ready to transport you to different worlds at a moment's notice.

The Kindle features adjustable font sizes, font styles, and line spacing, catering to your reading preferences. Whether you prefer a larger font for enhanced readability or a specific font style for a personalized touch, the Kindle allows you to customize your reading experience to suit your needs.

In addition to e-books, the Kindle also supports audiobooks, allowing you to switch seamlessly between reading and listening. Connect your Bluetooth headphones or speakers to enjoy your favorite audiobooks, further expanding your reading options.

The Kindle's intuitive interface and user-friendly controls ensure a seamless and enjoyable reading experience. Navigating through your library, adjusting settings, and accessing features are all straightforward and effortless. The device also includes features like dictionary lookup, highlighting, note-taking, and instant translations, enhancing your reading comprehension and overall reading experience.

In conclusion, the Kindle (2022 release) is a must-have device for avid readers who want to carry their personal library wherever they go. With its high-resolution e-ink display, extensive selection of e-books, long battery life, and portability, the Kindle offers an immersive and convenient reading experience. Whether you're a casual reader or a book enthusiast, the Kindle provides a gateway to a world of stories and knowledge at your fingertips. Immerse yourself in the joy of reading with the Kindle, and let the pages come alive.","5.0 out of 5 stars","2","",""
"1693623565-66","https://www.amazon.com/kindle-the-lightest-and-most-compact-kindle/product-reviews/B0B92489PD/","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Without Lockscreen Ads - Black","C. W. Webb","Small, easier to carry, light and a pleasure to read!","Reviewed in the United States on July 19, 2023","I seldom write reviews on items I purchase, unless there is something really outstanding to talk about. This Kindle falls into that category. First, let me say that I have owned every iteration of Kindle starting with Gen 2. My wife gave me one for Christmas in 2009. It was love at first read. I have not read a conventional book since that day, but I have read over 2,000 books in the Kindle edition since then. My favorite Kindle up to now was the early Oasis with the duel battery setup. It was small, light, and had good storage, a decent display and was a joy to read. Unfortunately, it now is old, well used, no longer updatable and has a weak cover battery. The later Oasis with a 7” screen is a fine Kindle with many minor upgrades, but it is heavier, much more cumbersome to use while reading in bed, and it hurts my face when I fall asleep while reading and drop it on my nose.

When I saw this Kindle advertised in a Prime Day ad as the smallest, lightest Kindle yet, at an awesome price, I just had to have one. I had the previous iteration of this model and it didn’t impress my all that much. My wife still has one and she doesn’t use it either. It’s not a bad device, it’s just clunky. I gave mine away to a friend who had an earlier Kindle that was way beyond its useful life. This new Gen 11 2022 Kindle has a lot to like. It has many minor upgrades that add up to a great value. It is both smaller and lighter than the previous generation. It has a better display, more storage, and is lighter and thinner, making it a pleasure to read in bed. (No more sore noses…) Now that I’ve had a chance to evaluate this device, it is my opinion that it is worth the money at the regular price, and a flat out steal at the Prime Day discount. Different folks have different preferences when looking at an eReader, but to me, they hit one out of the park with this model! Thank you, Amazon!","5.0 out of 5 stars","2","",""
"1693623565-67","https://www.amazon.com/kindle-the-lightest-and-most-compact-kindle/product-reviews/B0B92489PD/","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Without Lockscreen Ads - Black","Jori FS","Fantastic product!","Reviewed in the United States on August 1, 2023","I wasn't sure if I should get this version or the next level up or if I'd be annoyed by the lock screen ads or if I'd make a mistake by not buying a Kindle that had the color adjustment feature.

My first day using it, this is my opinion:
 1) The lock screen ads aren't a nuisance at all.  As soon as you swipe up, they're gone and they don't interfere with your reading experience.
2) The screen has white with black text and night mode, which are both sufficient for a smooth reading experience.  There is no glare at all on the screen and the text is at a comfortable size to read.
3) The device charges quickly.  When it arrived, it was at 58% and within an hour or two, the battery was fully charged using the provided USB cable and my laptop.
4) The setup was super easy and took less than 5 minutes.  I would recommend getting the Kindle app set up on your phone prior to receiving the device because it just saved so much of the usual setup BS that you will often encounter with new devices.  It connected almost immediately and all my books were right at my fingertips.

I saw a couple of complaints from other reviewers about not having continuous scrolling, but to me it's not an issue -- you just tap left or right to go to the previous page or the next one.  I also saw a complaint about it having a bezel, but to me it doesn't detract from the look of the device at all.

Overall, I have zero complaints about this device and would highly recommend it!  I also appreciate how you can pick up where you left off when reading.  It is lightweight and the screen is a sufficient size for reading, without being too bulky.  I also like how a PIN can be added for security.

10/10 would recommend this Kindle device and will probably not want to read on a tablet again.","5.0 out of 5 stars","2","",""
"1693623565-68","https://www.amazon.com/kindle-the-lightest-and-most-compact-kindle/product-reviews/B0B92489PD/","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Without Lockscreen Ads - Black","E. Krentz-Wee","Great device but serious limitation","Reviewed in the United States on August 23, 2023","I am mostly happy with this. I downgraded from an Oasis; I wanted the smaller size. It is indeed more comfortable in the hand. I use this daily and am content.
However, there are  things that do not live up to what this kindle is supposedly capable of:
1. It will never download my whole library. When it gets too many books on it, my only choice is to do a factory reset.*
The first sign of trouble is when I cannot download the book from the kindle device. Then I have to go to My Content and Devices on my Amazon account web page to send the book to kindle. At some point,  it cannot deliver a book.
Then the helpful tech support people will tell you to do a factory reset. You will erase all content, of course, and then it will need to do any upgrades from 2022 (in my case) when it was first released.
Note: I've never gotten 1,000 books on any kindle without this happening
2. If you have a lot of books, it is not able to organize your books by series. The apps on my iPhone and iPad organize them fine, but no longer on my kindle device.
What does this mean?
Don't spend extra money getting more storage. I never came close to using the 32Gb on the Oasis, and I still have over 11Gb free on this kindle. It doesn't matter: I will have to perform a factory reset long before I come close.
*I currently have 842 books downloaded; I own over 8000","4.0 out of 5 stars","2","",""
"1693623565-69","https://www.amazon.com/kindle-the-lightest-and-most-compact-kindle/product-reviews/B0B92489PD/","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Without Lockscreen Ads - Black","B Mac","Perfect for me","Reviewed in the United States on August 7, 2023","I haven't used an e-reader in a while, but wanted to get back into reading again, as it used to be quite a passion of mine. I much prefer this screen to my old Kindle Fire (which I HAVE used since I got this one for a free book I didn't want to read on my phone) as it's easier on the eyes and doesn't have much glare.

Features are very minimal, but that's perfectly fine for me.

As I've seen on other reviews, there's a delay between input and response, but that's to be expected with e-ink, as the screen has to refresh to change the image.

I saw one review that mentioned battery life at 50% after only 12 hours. I'd like to address this, as I thought I had the same issue at one point. I took my reader to work after using it for a few days and saw 48%, which I assumed was the battery level. It wasn't. It was how far I'd gotten in the book I was reading. My battery was at 65% when realized my goof and checked the next morning. The battery life is absolutely phenomenal compared to my Fire tablet.

Overall, I quite enjoy the reading experience with this Kindle. It's easy to use, has intuitive controls, and, best of all, has rekindled (no pun intended) my love for casual reading.","5.0 out of 5 stars","2","",""
"1693623565-70","https://www.amazon.com/kindle-the-lightest-and-most-compact-kindle/product-reviews/B0B92489PD/","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Without Lockscreen Ads - Black","Mary Peterson","Finally bit the bullet and it’s was a great choice","Reviewed in the United States on August 14, 2023","from january-june i read MAYBE 2 books. got the kindle and within the whole month of july i read 5 books, and they weren’t short books either. This is an introduction to e-readers for me but i know i made the right choice. sure the screen isn’t the biggest or best that the kindle range apparently has to offer, but for me i don’t NEED it since you can adjust the text size and all that jazz. if there is anything i had to complain about, and it’s totally minor, would be that the touch screen can be a little laggy and also a little sensitive at times, but like i said it’s genuinely a nitpick because it only happens every once in a while. i paired my kindle with a clear case and a pop socket like everyone on the internet seems to be doing and it hasn’t left my side. also they weren’t kidding when they said it has a long battery life. now obviously if you’re using it for hours on end, day after day, like i’ve been doing the battery isn’t going to last nearly has long on a single charge as it would if you were a more…”causal” reader, but even in my experience i can go WEEKS without having to charge it. 10/10 would recommend!","5.0 out of 5 stars","2","",""
"1693623565-71","https://www.amazon.com/kindle-the-lightest-and-most-compact-kindle/product-reviews/B0B92489PD/","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Without Lockscreen Ads - Black","skangirl","WITH PATIENCE, YOU CAN GET A GREAT PRICE! I prefer it over the newest, largest Paperwhite.","Reviewed in the United States on May 19, 2023","(Editing to reflect most recent purchase)

I bought 2 more of these Kindles on Prime day, paying $65 each for them. I paid $80 for the first one of this model, which was also a sale price. (When I purchased the first one, I also purchased the newest version of the Paperwhite, which I find awkwardly designed to hold with one small hand. I named that one ""Skippy"" because of its tendency to jump more than one page at a time. It's a complaint found in many reviews of that model.)

I have several older Kindles which have gotten a lot of use. Over time, it seems that they don't hold a charge as long as they did when they were new. I paid extra for the formerly-free 3G capability, which is no longer supported. (I think Amazon should give people credit if they paid the extra $20 or $30 for that feature.)

This Kindle and the new Paperwhite use a USB-C charging cable, which I prefer because there's no ""upside down, try again"" issue. It sounds trivial, but it's a plus, imho. Now I won't have to use 2 different cables, depending on which Kindle I'm charging.

I use several Kindles at a time: One in my purse (or 2 if I'm traveling where recharging is not an option). And 3 ""scattered"" around the house so that a Kindle is always within reach. I've also purchased others which I've given to my kids, loaded with books I think they would enjoy.

I'm not sure what makes this model *not* a Paperwhite. It has the features I love/need/use the most (adjustable fonts, adjustable light, built-in dictionary, note-taking capability, etc.). The slight difference in weight is actually noticeable--and appreciated by my arthritic hands.

I always purchase a magnetic cover that allows the device to wake up automatically when it is opened. (If you purchase on ebay, you'll find covers that are a lot cheaper than identical covers sold on Amazon.)

My original review:

It seems as if ""they"" constantly try to convince us that our devices (cell phones, tvs, computers, watches) are outdated technology. Too small, too large, too ""flippy"". This Kindle is probably as small as I'd want to go. If I wanted a smaller screen than this Kindle, I'd just use my phone.

(The latest Paperwhite is noticeably larger than this device and previous Paperwhites. My preferred technique of holding it with one hand is more awkward with a larger device. It feels unbalanced, top-heavy. The cover is larger, too, of course, which adds more weight. I have arthritis in my hands, so it probably bothers me more than others. If I'm using a Kindle easel or holding it on my lap, it doesn't matter. But for one-handed Kindling, I like this little model. It's my new ""travel Kindle"".)

I miss and resent the loss of free X-G for the Kindles. I paid extra for free 3G on my previous Kindles and it's useless now. It's not a huge hardship, but I have to remember to sync my devices before I leave the house. It can be a nuisance to find my place in my ""purse Kindle"" when I'm not home. (And Amazon loses out on those impulse purchases that I used to make when I finished a book and felt an urgent need to buy the sequel or something by the same author.)

In conclusion, this is my new, preferred Kindle. My Kindle collection will now consiste of 3 of these, plus the larger Paperwhite I call ""Skippy"".","5.0 out of 5 stars","2","",""
"1693623565-72","https://www.amazon.com/kindle-the-lightest-and-most-compact-kindle/product-reviews/B0B92489PD/","Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Without Lockscreen Ads - Black","Robert's reviews","perfect upgrade","Reviewed in the United States on August 31, 2023","I enjoy reading, but carrying around books is a drag.  I was looking for something a bit larger than my phone, smaller than a tablet, and easier on my eyes.  This has been perfect for me.  Use it several days a week, it is easy to read on, I can carry it in backpack, or even in the cargo pocket of my pants.  Holds plenty of books, does not need internet connection, so reading anywhere is fine.  Battery life is incredible, I think I have charged it 2 or 3 times since I got it a few months ago.  Didn't need charging, just saw the plug and thought I would ""top it off"" while I had a plug handy.

4 stars as I thought there used to be a way to get the Washington post on it.  For a while, I think they were sending out a daily copy and delivering it to some of my devices, but I have not found a way to do that with this (read that they have stopped doing this).  Would have been a nice feature.  But if you like reading, or need to read for work, this is a great little device.","4.0 out of 5 stars","2","",""
